SYMBOL,Text,Name,Date,Retweets,Tweet Type,Hashtags,Mentions,Media Type,
MSFT,"Microsoft is counting on Teams, with video calls and group chat, to propel it into the future, pitting it against the likes of Zoom and Slack. Some rivals say it’s using sharp-elbowed business tactics to get there. https://t.co/xWzghEKYJn",WSJ Markets,02/06/2020,2,Tweet,0,0,,
MSFT,"6 Slack Analysts On Q1 Results, Billing Numbers, Microsoft Competition: 'An Unexpected Dichotomy' $WORK $MSFT https://t.co/ozULuuncxW",Benzinga,07/06/2020,0,Tweet,0,0,,
MSFT,"RT @srussolillo : A major reason the market has recovered so much: Microsoft, Apple, Amazon, Alphabet and Facebook make up more than 20% of the S&amp;P 500. Five years ago, the concentration of market value in the index’s largest five components was 12%. 

via @AmrithRamkumar https://t.co/gRz0HozjSe https://t.co/bbRCY6Q1DC",WSJ Markets,08/06/2020,0,Retweet,0,1,photo,
MSFT,RT @IBD_ECarson : Dow futures fall on fears of new coronavirus wave https://t.co/TAgPaqpEwZ $BABA $TSLA $AMD $NVDA $XP $NKLA $NOW $MSFT https://t.co/JfBvm0CUiT,Investors.com,11/06/2020,0,Retweet,0,0,photo,
MSFT,Trump retweets call for #Microsoft ban from federal contracts. https://t.co/GzLPNqpTwe,Holger Zschaepitz,12/06/2020,59,Tweet,1,0,photo,
MSFT,Trump retweets call for #Microsoft ban from federal contracts. https://t.co/GzLPNqpTwe,Holger Zschaepitz,12/06/2020,59,Tweet,1,0,photo,
MSFT,"Barron's Picks And Pans: Chevron, Goldman Sachs, Progressive And More $CVX $PG $AAL $GS $PGR $AAPL $MSFT $BAC $CPB $GIS $DKS https://t.co/aM9nznXXDn",Benzinga,14/06/2020,2,Tweet,0,0,,
MSFT,"Microsoft Will Continue Benefiting From Accelerated Shift To Cloud, Wedbush Says $MSFT
https://t.co/hVWfUSOBVi",Benzinga,14/06/2020,6,Tweet,0,0,,
MSFT,"RT @IBD_ECarson : Bulls extend market rally overnight; Cloudflare leads five stocks flashing buy signals
https://t.co/qyqDAI0Xgk $NET $FTNT $DXCM $TDOC $MSFT $TSLA $NKLA https://t.co/wKFeJ6ruLj",Investors.com,15/06/2020,0,Retweet,0,0,animated_gif,
MSFT,Apple $AAPL and Microsoft $MSFT are the only two Dow stocks up over the last week. https://t.co/xSYXyWIHxA,Bespoke,17/06/2020,8,Tweet,0,0,photo,
MSFT,RT @IBD_ECarson : These 3 stocks just cleared buy points; quietly bullish market action continues late https://t.co/dAE2lWXZap $CRM $PCTY $AYX $SHOP $ZS $MSFT $ADBE $TSLA https://t.co/BNImFQlK1b,Investors.com,18/06/2020,0,Retweet,0,0,animated_gif,
MSFT,"RT @IBD_ECarson : U.S. coronavirus cases hit new daily record; Dow futures signal further market losses, Disneyland reopening delayed https://t.co/XtPRHLpQS2 $DIS $TDOC $TSLA $ZM $AAPL $RH $CVNA $MSFT $NVDA https://t.co/MX9QZPfJmY",Investors.com,25/06/2020,0,Retweet,0,0,animated_gif,
MSFT,"Microsoft's stores once served a purpose. But in a pandemic age, boutique showrooms are much harder to justify for a company that doesn't need them, @djtgallagher writes for @WSJheard - https://t.co/lMyYBMHmJi",WSJ Markets,26/06/2020,3,Tweet,0,2,,
MSFT,"The Covid-19 pandemic has changed the calculus for expensive, boutique showcases like the ones Microsoft plans to close https://t.co/lYIP9SClIT",WSJ Markets,26/06/2020,1,Tweet,0,0,,
MSFT,The combined market cap of Apple and Microsoft is now 54% greater than the ENTIRE Russell 2000.,Bespoke,06/07/2020,172,Tweet,0,0,,
MSFT,"RT @charliebilello : Big tech returns in 2008 recession...
$MSFT: -44%
$AAPL: -57%
$GOOGL: -56%
$AMZN: -45%
$QQQ: -42%

Big tech returns YTD in 2020 recession...
$MSFT: +34%
$AAPL: +28%
$GOOGL: +12%
$AMZN: +65%
$QQQ: +22%

Data via @ycharts",Stocktwits,06/07/2020,0,Retweet,0,1,,
MSFT,"Magic Leap hired Peggy Johnson, a top Microsoft executive, to be its new C.E.O. https://t.co/zXCoyUbwP1",NYT Business,07/07/2020,0,Tweet,0,0,,
MSFT,"Magic Leap hired Peggy Johnson, a top Microsoft executive, to be its new C.E.O. https://t.co/zXCoyUbwP1",NYT Business,07/07/2020,0,Tweet,0,0,,
MSFT,"On a combined basis, Amazon and Microsoft have seen their market caps increase by $1.1 trillion YTD.",Bespoke,09/07/2020,15,Tweet,0,0,,
MSFT,"When does the market cap of either Apple, Microsoft, or Amazon (all markets caps of b/w 1.6 and 1.7 trillion) overtake the Russell 2000 (2.03 trillion)?",Bespoke,13/07/2020,7,Tweet,0,0,,
MSFT,"$MSFT, Microsoft is another one to key off of. Dow Stock that's also a Nazz ..",Jim Cramer,16/07/2020,10,Tweet,0,0,,
MSFT,RT @TheStreet : Microsoft Earnings Preview: @jimcramer Says Stock Has 'Consistently Outperformed' https://t.co/ePTPpwtcG0,Jim Cramer,16/07/2020,0,Retweet,0,1,,
