Symbol,Text,Name,Date,Retweets,Tweet Type,Hashtags,Mentions
BKNG,RT @MinteractApp : #Options Flow Stream Update $AAPL $AMZN $GOOG $ZM $BKNG $DOCU $JD $VXX $IWM $QQQ $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/5JE2nlrW3B https://t.co/vdb3wbWZOQ,TickWatcher,03/09/2020,0,Retweet,14,0
BKNG,RT @MinteractApp : #Options Flow Stream Update $AAPL $AMZN $GOOG $ZM $BKNG $DOCU $JD $VXX $IWM $QQQ $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/5JE2nlrW3B https://t.co/vdb3wbWZOQ,Tickwatcher MF,03/09/2020,0,Retweet,14,0
BKNG,GREEDY WHILE ALL FEARFUL ?? might work #BTFD $BKNG $ULTA ??,XY,03/09/2020,0,Tweet,1,0
BKNG,RT @MinteractApp : #Options Flow Stream Update $AAPL $AMZN $GOOG $ZM $BKNG $DOCU $JD $VXX $IWM $QQQ $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/5JE2nlrW3B https://t.co/vdb3wbWZOQ,OptionsPro OI,03/09/2020,0,Retweet,14,0
BKNG,RT @MinteractApp : #Options Flow Stream Update $AAPL $AMZN $GOOG $ZM $BKNG $DOCU $JD $VXX $IWM $QQQ $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/5JE2nlrW3B https://t.co/vdb3wbWZOQ,OptionsPro MaxPain,03/09/2020,0,Retweet,14,0
BKNG,$SWKS $BKNG $GOOG options have the largest change in price. Free options screener. https://t.co/JukBDc0Qlt,max pain,03/09/2020,0,Tweet,0,0
BKNG,#Options Flow Stream Update $AAPL $AMZN $GOOG $ZM $BKNG $DOCU $JD $VXX $IWM $QQQ $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/5JE2nlrW3B https://t.co/vdb3wbWZOQ,Super Stocks,03/09/2020,5,Tweet,14,0
BKNG,"???? Alerted yesterday????  

$SPY $FB $AMZN $INTC $NFLX $AAPL $SNAP $TWTR $PYPL $EBAY  $MSFT $CMG $AMD  $TXN $ZG $LYFT $QCOM $UBER $BKNG $WDC $SQ $TDOC $TTWO $DPZ $PINS $NOW $ROKU $CHPK $GILD $MIK $NBIX $PLUG  $EQIX $CSCO $DIS $HAL $DXCM $ETSY $V $NIO $LRCX $TSLA $SPX $DJI https://t.co/eNRJgNPU05",Stock Whispers,03/09/2020,1,Tweet,0,0
BKNG,@optioncharts $Bkng maxpain for tomorrow is 1880,Alex_85S,03/09/2020,0,Reply,0,1
BKNG,Tell that to $BKNG and $EXPE https://t.co/biu8CMsmSc,r buyer. AI free ??,03/09/2020,0,Tweet,0,0
BKNG,$BKNG high OI range is 1700.00 to 2000.00 for option expiration 09/04/2020 PutCallRatio=1.18 #maxpain #options https://t.co/QC28L7pauN https://t.co/vCQVLgF7Br,max pain,03/09/2020,0,Tweet,2,0
BKNG,Stalking $bkng for a red to green @DrunkStepmother,stoner {sports} CFO,03/09/2020,0,Tweet,0,1
BKNG,"$BKNG back to its pre-covid price ??

$DESP more appealing IMO",10-K Carl,03/09/2020,0,Tweet,0,0
BKNG,"Booking Holdings put volume heavy and directionally bearish
$BKNG",??lgo Bot,03/09/2020,0,Tweet,0,0
BKNG,Rose Above Previous Day's High today: $GPK $RWT $HRB $CAKE $GERM $CIM $EIC $TIGO $BK $UTSL $DFS $ABCB $CVS $XCUR $SBS $BKNG $MDT $WD $SNA $HEI ... https://t.co/TBYRpvrFqi,SwingTradeBot,03/09/2020,0,Tweet,0,0
BKNG,all travel stocks are very strong today $CCL $BKNG $EXPE $AAL $DAL are tech stocks rotating in to them or whats up?,Alex_85S,03/09/2020,0,Tweet,0,0
BKNG,"$BKNG so far is not dropping with the market. Interesting, something is up.",Alex_85S,03/09/2020,0,Tweet,0,0
BKNG,"EOP Option Trade of the Day - https://t.co/T4ZZBdpgO7

$DIS $BTC $MSFT $FB $NVDA $BYND $TWLO $BKNG $AMZN $GOOGL $BIDU $BABA $DIS $AAPL $GS $TSLA $NFLX $AMD $BA $CRM $LULU $ROKU",Exact Option Picks,03/09/2020,0,Tweet,0,0
BKNG,"RT @ADBYNOT : Thursday #theSTRAT D setups:
2-2W Cont: 
$CVNA $MYOV $NFLX $ROKU $STNE $TSLA $TTD 
Inside W up: $ONEM
2-2W Rev: $PDD $ZI 
Inside W: $APPS $AYX $BA $BIGC $BKNG $DAL $FSLY $FTCH $GRWG $NET $UAL 
#TrustTheProcess",Strat Soldier,03/09/2020,0,Retweet,2,0
BKNG,"$BKNG's price moved above its 50-day Moving Average on August 5, 2020. View odds for this and other indicators: https://t.co/Ioz56hQDpH #BookingHoldings #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/FOM5o7IRY7",Tickeron,03/09/2020,0,Tweet,10,0
