Symbol,Text,Name,Date,Retweets,Language,Tweet Type,Hashtags,Mentions,Media Type
FB,"Saudi Arabia On A Pandemic Bargain Hunt, Buys Shares in Facebook, Disney, Boeing, Others $FB $DIS $BA $BAC $C https://t.co/t3PhqqpgtW",Benzinga,18/05/2020,2,en,Tweet,0,0,
FB,Study: More Harassment Seen In LGBT Online Dating $FB $MTCH https://t.co/OCwNDEGLmv,Benzinga,18/05/2020,0,en,Tweet,0,0,
FB,"RT @DugganSense : Q1 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios $DIS $FB $GS https://t.co/PXMD7xsy3G via @benzinga",Benzinga,19/05/2020,0,en,Retweet,0,1,
FB,"Facebook Shops: Helping Small Businesses Sell Online

$FB
https://t.co/KymLZHWRQ3",Stocktwits,19/05/2020,9,en,Tweet,0,0,
FB,RT @IBD_JGraham : Why Facebook stock is a buy as it clears cup-with-handle buy point $FB https://t.co/rryhkg6psl https://t.co/Oqs4YciSQk,Investors.com,19/05/2020,0,en,Retweet,0,0,photo
FB,"Nasdaq limits losses; Facebook, AMD, Silicon Motion clear buy points $FB $AMD $SIMO https://t.co/z0XXqBC1Bb",Investors.com,19/05/2020,8,en,Tweet,0,0,
FB,"Nasdaq limits losses; Facebook, AMD, Silicon Motion clear buy points $FB $AMD $SIMO Watch Stock Market Today here: https://t.co/RtFTSkLsGp https://t.co/XtNEj5Ey4z",Investors.com,19/05/2020,2,en,Tweet,0,0,photo
FB,What We Know About Facebook Shops $FB $SHOP https://t.co/T67pcFKVT7,Benzinga,19/05/2020,2,en,Tweet,0,0,
FB,"Facebook ? 2.94% pre-market.  
 
$FB is less than $1 from its all-time high. https://t.co/i9TMhfXRjm",Stocktwits,20/05/2020,15,en,Tweet,0,0,photo
FB,RT @TheStreet : Here's why @JimCramer is treating Facebook $FB as a metaphor for the markets:  https://t.co/3CMDiikIh2,Jim Cramer,20/05/2020,0,en,Retweet,0,1,
FB,RT @djtgallagher : Facebook getting into Amazon's e-commerce territory isn't as crazy as it sounds. For @WSJheard - https://t.co/oy6h9YQbFN,WSJ Markets,20/05/2020,0,en,Retweet,0,1,
FB,Facebook's New Shopping Feature Lifts Stock To All-Time Highs $FB https://t.co/j4FQt7SZGD,Benzinga,20/05/2020,1,en,Tweet,0,0,
FB,"Just to put things into perspective: FANGMAN (Facebook + Amazon + Google + Microsoft + Apple + Nvidia) mkt cap has just hit a fresh All-time high at $6.1tn, equal to the combined GDP of #Germany and #Italy. https://t.co/CGzojIcl3C",Holger Zschaepitz,20/05/2020,802,en,Tweet,2,0,photo
FB,"Thank you! Lord knows i have been critical here of Facebook, but this small business initiative is very strong. Sure, they might advertise and make $FB $ but it is so good to get extra income to these folks. https://t.co/y30seUyZWC",Jim Cramer,21/05/2020,5,en,Tweet,0,0,
FB,"RT @pwswanson1 : @jimcramer Your interview with $fb is spot on. Almost everything on this table was sold Monday night in a FB ""small"" group. ...excluding baby and margarita. ?? https://t.co/Uka2WY0zom",Jim Cramer,21/05/2020,0,en,Retweet,0,1,photo
FB,"Facebook’s Shops venture comes as the coronavirus pandemic has exploded the e-commerce market and tested the limits of its leader, Amazon https://t.co/xrsL6EXjvc",WSJ Markets,21/05/2020,0,en,Tweet,0,0,
FB,Please watch my Facebook interview to know what part of the American economy i am worried about... $FB,Jim Cramer,21/05/2020,9,en,Tweet,0,0,
