Symbol,Text,Name,Date,Favorites,Retweets,Tweet Type,Hashtags,Media Type
APPLE,"Big Stocks Moving After Hours As Market Cheers Gilead, 'Reopening' Updates $AAPL $FB $TSLA $GILD https://t.co/a25JOkUDEc",Benzinga,17/04/2020,2,1,0,0,
APPLE,"‘Tone-Deaf’: Gene Munster Dismisses Goldman's Apple Downgrade, Says Cupertino Has Long-Term Earnings Power $AAPL $AMZN $FB https://t.co/mCf3MkjqZa",Benzinga,17/04/2020,2,2,0,0,
APPLE,"Goldman Turns Bearish On Apple, Qualcomm, Projects 36% Drop In Q2 iPhone Sales $AAPL $QCOM  https://t.co/ZLtNGLJ0xp",Benzinga,17/04/2020,0,1,0,0,
APPLE,"$AAPL You always want to follow the big caps even if you're not in them. ""The RS line is near all time highs on Apple so if the the stock were to breakout here, the RS line would be confirming it and that's a plus."" @IBD_CGessel 

#IBDLive https://t.co/3blGfGPsqp",Investors.com,17/04/2020,15,2,1,1,photo
APPLE,Smart Option Trading CEO On Gaining An Edge With Options: 'They Show The Overall Sentiment' https://t.co/kma84yAvn6 $AAPL $AMD $ZM #bzbootcamp,Benzinga,18/04/2020,2,6,1,0,
APPLE,"What crisis? Total market cap of FANGMAN (Facebook, Amazon, Netflix, Alphabeth, Microsoft, Apple, Nvidia) at $5.53tn, only 7% below ATH of $5.95tn. https://t.co/oST7aC159Q",Holger Zschaepitz,20/04/2020,539,203,0,0,photo
APPLE,A third of small businesses who didn't apply for loans in the CARES Act cited concerns that loans wouldn't be forgiven as the reason. https://t.co/ZQdBqpEw9G https://t.co/p00t9ZVDmL,Bespoke,20/04/2020,5,2,0,0,photo
GOOG,"Making Most Of Lockdowns, Facebook Gaming Launches Earlier Than Planned $FB $MSFT $AMZN $GOOG https://t.co/JGL4FAWn9j",Benzinga,21/04/2020,4,0,0,0,
GOOG,"Here's a longer-term look at US Google search trends for ""hospital"" and ""emergency room"".  It's projecting a multi-year low for ""hospital"" searches in April.  ""Emergency room"" hit its 5-year high recently but now back down to bottom of long-term range. https://t.co/PK81QrwrN2",Bespoke,21/04/2020,6,3,0,0,photo
GOOG,"Here's a checkup on US Google search trends.  Searches for symptoms like ""fever"" and ""cough"" are now below pre-Covid levels (coming out of flu season?).  ""Loss of smell"" way down.  All peaked mid-March. https://t.co/Bxg0T6i5GL",Bespoke,21/04/2020,18,8,0,0,photo
